start_station_id,start_station_name,Outflow,Inflow,Net_Balance,Total_Volume
1234.56,Morgan HCT Charging,742.0,1278,-536.0,2020.0
190 Morgan,190 Morgan,4.0,15,-11.0,19.0
2261.04,5 Ave & 88 St,14.0,20,-6.0,34.0
2312.02,Colonial Rd & 89 St,5.0,14,-9.0,19.0
2387.07,86 St & Ridge Blvd,70.0,87,-17.0,157.0
2419.03,84 St & 3 Ave,3.0,8,-5.0,11.0
2453.05,4 Ave & 81 St,52.0,64,-12.0,116.0
2463.04,Ridge Blvd & 82 St,27.0,36,-9.0,63.0
2488.09,6 Ave & 78 St,101.0,110,-9.0,211.0
2497.07,3 Ave & 81 St,166.0,182,-16.0,348.0
2506.10,83 St & Narrows Ave,81.0,93,-12.0,174.0
2506.11,Colonial Rd & 83 St,123.0,133,-10.0,256.0
2533.04,79 St & 5 Ave,157.0,178,-21.0,335.0
2578.16,3 Ave & 77 St,357.0,377,-20.0,734.0
2615.05,Bay Ridge Pkwy & 5 Ave,135.0,141,-6.0,276.0
2625.01,78 St & Ridge Blvd,54.0,63,-9.0,117.0
2635.08,Shore Rd & 80 St,95.0,103,-8.0,198.0
2660.09,4 Ave & 72 St,141.0,155,-14.0,296.0
2698.07,68 St & 5 Ave,219.0,223,-4.0,442.0
2708.07,73 St & Ridge Blvd,177.0,195,-18.0,372.0
2717.06,Shore Rd & 74 St,321.0,337,-16.0,658.0
2733.03,67 St & Erik Pl,2027.0,2119,-92.0,4146.0
2743.04,68 St & 4 Ave,164.0,175,-11.0,339.0
2782.02,5 Ave & 67 St,2825.0,2852,-27.0,5677.0
2793.07,Ovington Ave & 3 Ave,425.0,438,-13.0,863.0
2821.05,7 Ave & 62 St,2884.0,2994,-110.0,5878.0
2821.06,62 St & 7 Ave,376.0,382,-6.0,758.0
2832.03,4 Ave & Shore Road Dr,3237.0,3299,-62.0,6536.0
2843.01,Colonial Rd & 68 St,377.0,406,-29.0,783.0
2843.13,70 St & Ridge Blvd,183.0,191,-8.0,374.0
2861.02,57 St & 7 Ave,2583.0,2619,-36.0,5202.0
2872.02,63 St & 5 Ave,1548.0,1564,-16.0,3112.0
2883.03,3 Ave & Wakeman Pl,2849.0,2976,-127.0,5825.0
2898.01,Cortelyou Rd & Stratford Rd,9472.0,9545,-73.0,19017.0
2908.02,E 3 St & Cortelyou Rd,87.0,99,-12.0,186.0
2912.08,6 Ave & 60 St,1313.0,1340,-27.0,2653.0
2923.01,62 St & 4 Ave,1605.0,1644,-39.0,3249.0
2932.03,Wakeman Pl & Ridge Blvd,3480.0,3574,-94.0,7054.0
2942.07,Shore Pkwy Greenway & Bay Ridge Ave,567.0,591,-24.0,1158.0
2947.05,Cortelyou Rd & E 8 St,540.0,558,-18.0,1098.0
2951.05,55 St & 7 Ave,2585.0,2590,-5.0,5175.0
2961.05,59 St & 5 Ave,1688.0,1768,-80.0,3456.0
2971.02,64 St & 3 Ave,593.0,743,-150.0,1336.0
2981.03,Colonial Rd & Wakeman Pl,177.0,198,-21.0,375.0
2984.04,Cortelyou Rd & Argyle Rd,6889.0,7170,-281.0,14059.0
2996.05,Ocean Pkwy & Ave C,559.0,579,-20.0,1138.0
3000.08,6 Ave & 55 St,2247.0,2264,-17.0,4511.0
3007.05,Church Ave & Story St,4328.0,4380,-52.0,8708.0
3011.03,59 St & 4 Ave,5188.0,5138,50.0,10326.0
3019.02,65 St & 2 Ave,508.0,573,-65.0,1081.0
3019.03,Keegan Rd & 2 Ave,904.0,1006,-102.0,1910.0
3022.01,Cortelyou Rd & E 19 St,6108.0,6199,-91.0,12307.0
3034.02,Matthews Ct & Coney Island Ave,2961.0,3101,-140.0,6062.0
3038.08,50 St & 7 Ave,5765.0,5751,14.0,11516.0
3046.03,E 3 St & Church Ave,4539.0,4614,-75.0,9153.0
3050.03,55 St & 5 Ave,1904.0,1908,-4.0,3812.0
3056.05,12 Ave & 36 St,4670.0,4708,-38.0,9378.0
3056.07,37 St & 13 Ave,181.0,181,0.0,362.0
3070.04,E 16 St & Cortelyou Rd,7129.0,7343,-214.0,14472.0
3080.01,E 8 St & Beverley Rd,248.0,259,-11.0,507.0
3084.05,52 St & 6 Ave,1361.0,1402,-41.0,2763.0
3087.01,Cortelyou Rd & E 34 St,1797.0,1946,-149.0,3743.0
3090.06,Church Ave & McDonald Ave,6404.0,6554,-150.0,12958.0
3093.07,57 St & 4 Ave,2669.0,2721,-52.0,5390.0
3099.01,37 St & Fort Hamilton Pkwy,300.0,318,-18.0,618.0
3113.06,Rugby Rd & Beverley Rd,3636.0,3896,-260.0,7532.0
3113.1,Stratford Rd & Beverley Rd,101.0,9,92.0,110.0
3113.10,Stratford Rd & Beverley Rd,3172.0,3352,-180.0,6524.0
3117.05,46 St & 7 Ave,5033.0,5077,-44.0,10110.0
3121.01,Cortelyou Rd & Albany Ave,1540.0,1674,-134.0,3214.0
3125.09,Ocean Pkwy & Church Ave,8914.0,9033,-119.0,17947.0
3129.08,53 St & 5 Ave,2871.0,2879,-8.0,5750.0
3132.09,Beverley Rd & Nostrand Ave,4724.0,4980,-256.0,9704.0
3135.04,Chester Ave & 12 Ave,2537.0,2578,-41.0,5115.0
3138.03,56 St & 2 Ave,2896.0,2944,-48.0,5840.0
3138.09,58 St & 2 Ave,418.0,425,-7.0,843.0
3140.09,Bedford Ave & Beverley Rd,5065.0,5176,-111.0,10241.0
3148.08,E 17 St & Beverley Rd,4401.0,4659,-258.0,9060.0
3148.09,E 19 St & Beverley Rd,3445.0,3553,-108.0,6998.0
3155.01,Schenectady Ave & Cortelyou Rd,1256.0,1350,-94.0,2606.0
3157.08,Turner Pl & Coney Island Ave,5559.0,5613,-54.0,11172.0
3161.02,46 St & 6 Ave,4196.0,4133,63.0,8329.0
3164.04,Brooklyn Ave & Beverley Rd,655.0,822,-167.0,1477.0
3166.03,Albemarle Rd & McDonald Ave,5943.0,6005,-62.0,11948.0
3169.07,53 St & 4 Ave,5765.0,5751,14.0,11516.0
3172.01,Tilden Ave & Nostrand Ave,2473.0,2590,-117.0,5063.0
3178.02,57 St & 1 Ave,2063.0,2115,-52.0,4178.0
3180.02,Beverley Rd & Flatbush Ave,7248.0,7577,-329.0,14825.0
3180.09,Albemarle Rd & E 21 St,5082.0,5170,-88.0,10252.0
3187.01,Beverley Rd & E 49 St,1415.0,1587,-172.0,3002.0
3188.04,Rugby Rd & Albemarle Rd,2926.0,3008,-82.0,5934.0
3192.05,7 Ave & 41 St,12803.0,12793,10.0,25596.0
3199.01,Caton Ave & E 7 St,7047.0,7141,-94.0,14188.0
3202.06,48 St & 5 Ave,5270.0,5223,47.0,10493.0
3205.06,Brooklyn Ave & Tilden Ave,574.0,748,-174.0,1322.0
3208.07,Dahill Rd & 12 Ave,3566.0,3626,-60.0,7192.0
